spec,page,genspec,age.my,tooth,stat,plateno,length,width,um3hgt,lamfreq,enamthk,hypsoindex
17,59,M. armeniacus,0.7,M/3,N,15,14,21,21,22,20,16
17,59,M. armeniacus,0.7,M2/,Mean,13.3,206.7,77.4,134.3,6.9,1.8,186.9
17,59,M. armeniacus,0.7,M2/,Stdev,1.7,23.5,12.7,20.8,0.8,0.8,49.1
17,59,M. armeniacus,0.7,M2/,N,11,10,11,11,13,13,9
17,59,M. armeniacus,0.7,M/2,Mean,11.5,200.5,79.4,124.3,6.4,2,161.7
17,59,M. armeniacus,0.7,M/2,Stdev,1.2,14.3,7.6,25.3,0.7,0.5,18.6
17,59,M. armeniacus,0.7,M/2,N,8,8,8,7,8,8,6
17,59,M. armeniacus,0.7,M1/,Mean,11,144.5,64.2,87.7,8.4,1.3,162.5
17,59,M. armeniacus,0.7,M1/,Stdev,,,7.3,,0.8,0.4,
17,59,M. armeniacus,0.7,M1/,N,3,4,5,4,5,5,2
17,59,M. armeniacus,0.7,M/1,Mean,11.3,165.3,57.5,94,7.7,1.1,175.1
17,59,M. armeniacus,0.7,M/1,Stdev,,,,,,,
17,59,M. armeniacus,0.7,M/1,N,3,3,4,3,4,4,3
18,61,M. primigenius,0.2,M3/,Mean,23.2,263.8,92.5,168.1,9,1.6,184.4
18,61,M. primigenius,0.2,M3/,Stdev,1.9,20.5,10.8,16.4,1.3,0.3,14.3
18,61,M. primigenius,0.2,M3/,N,12,7,17,15,17,17,15
18,61,M. primigenius,0.2,M/3,Mean,21.8,267.4,87.6,137.8,8.5,1.5,159.7
18,61,M. primigenius,0.2,M/3,Stdev,1.9,44.1,10.9,20.9,1.1,0.3,19.8
18,61,M. primigenius,0.2,M/3,N,5,5,8,8,8,8,8
18,61,M. primigenius,0.2,M2/,Mean,15.5,163.5,70.7,141.2,10.3,1.3,214.7
18,61,M. primigenius,0.2,M2/,Stdev,0.5,6.3,6.8,,0.9,0.1,
18,61,M. primigenius,0.2,M2/,N,8,6,7,4,8,7,4
18,61,M. primigenius,0.2,M/2,Mean,15.3,174.3,67,121.9,9.2,1.3,197
18,61,M. primigenius,0.2,M/2,Stdev,0.5,15.5,12.8,11.4,1.2,0.3,29.8
18,61,M. primigenius,0.2,M/2,N,7,5,10,7,9,8,6
18,61,M. primigenius,0.2,M1/,Mean,12.7,138.2,57.3,107.5,10.7,1.1,207.3
18,61,M. primigenius,0.2,M1/,Stdev,,,,,,,
18,61,M. primigenius,0.2,M1/,N,3,2,3,3,3,3,2
18,61,M. primigenius,0.2,M/1,Mean,13.3,135,56.2,91.7,9.9,1.2,180.4
18,61,M. primigenius,0.2,M/1,Stdev,,,,,,,
18,61,M. primigenius,0.2,M/1,N,3,2,4,3,4,4,2
